"Method","Parameter","Rhat","Rhat_Upper_CI"
"CMC-IMH Shard 7","speed_limit5",0.999997177982942,0.999998644918419
"CMC-IMH Shard 7","speed_limit6",1.00000436473466,1.00000857085803
"CMC-IMH Shard 8","(Intercept)",1.00001563898004,1.00004795791516
"CMC-IMH Shard 8","road_typedual carriageway",1.00000698511592,1.00003336175158
"CMC-IMH Shard 8","road_typeone way street (from 2005)",1.0000110948524,1.00004635521555
"CMC-IMH Shard 8","road_typeroundabout",1.00001964572867,1.00006558000562
"CMC-IMH Shard 8","road_typeslip road (from 2005)",1.00001800925846,1.00002683888257
"CMC-IMH Shard 8","speed_limit1",1.000012120058,1.00003097979774
"CMC-IMH Shard 8","speed_limit3",1.00002358627836,1.00007952777718
"CMC-IMH Shard 8","speed_limit4",1.00000071143195,1.0000060883301
"CMC-IMH Shard 8","speed_limit5",0.99999850056334,1.0000077945571
"CMC-IMH Shard 8","speed_limit6",1.00001900511987,1.00003488151312
"CMC-IMH Shard 9","(Intercept)",1.00002456859499,1.0000807263125
"CMC-IMH Shard 9","road_typedual carriageway",1.00001585424459,1.00002716203578
"CMC-IMH Shard 9","road_typeone way street (from 2005)",1.00005866430463,1.00017664708865
"CMC-IMH Shard 9","road_typeroundabout",1.00000480071438,1.00001630810174
"CMC-IMH Shard 9","road_typeslip road (from 2005)",1.00001660173243,1.00005837692177
"CMC-IMH Shard 9","speed_limit1",1.00003510006969,1.00008223071626
"CMC-IMH Shard 9","speed_limit3",1.00000564628925,1.00001387161644
"CMC-IMH Shard 9","speed_limit4",1.00000190997078,1.00000431038378
"CMC-IMH Shard 9","speed_limit5",1.00000943470007,1.000032280434
"CMC-IMH Shard 9","speed_limit6",1.00002631950148,1.00008075388365
"CMC-IMH Shard 10","(Intercept)",1.00000535756362,1.00002616833173
"CMC-IMH Shard 10","road_typedual carriageway",1.00002359365164,1.00007863546965
"CMC-IMH Shard 10","road_typeone way street (from 2005)",1.00000516073957,1.00001649416988
"CMC-IMH Shard 10","road_typeroundabout",1.0000185126712,1.00006145074955
"CMC-IMH Shard 10","road_typeslip road (from 2005)",1.0000952672271,1.00019018549673
"CMC-IMH Shard 10","speed_limit1",1.00000675267859,1.00002183305614
"CMC-IMH Shard 10","speed_limit3",1.00000618726636,1.00002250238783
"CMC-IMH Shard 10","speed_limit4",0.999997741156315,1.0000030878688
"CMC-IMH Shard 10","speed_limit5",1.00001330625642,1.00002651473277
"CMC-IMH Shard 10","speed_limit6",1.0000120667356,1.00002056099216
